Proxy,Source,Pb_offset_r,Zn_offset_r,Cu_offset_r,n,Mean_abs_r
CH_total,FTIR,0.49938287869195486,0.291927543081579,0.11161380112087829,34,0.30097474096480403
CH_stretch_2920,FTIR,0.4994931586468628,0.29178645395203767,0.11194009089352384,34,0.30107323449747475
CH_stretch_2850,FTIR,0.49955309368783524,0.29190127129734605,0.11129956866562056,34,0.3009179778836006
CO_carbonyl_1720,FTIR,0.17205240251241313,0.08906868592625802,0.025180368180596865,34,0.09543381887308934
Aromatic_1600,FTIR,0.03413002025292158,0.10324301160922911,-0.13287914316307559,34,0.09008405834174209
NH_stretch,FTIR,0.4995730039053888,0.2924730690145771,0.11228698314470162,34,0.30144435202155584
NH_bend,FTIR,0.21803465129202607,0.14120583398582517,0.07630876847037006,34,0.14518308458274043
Amide_I,FTIR,0.20254367031209977,0.2863149531477003,0.24263710415875878,34,0.24383190920618625
Nitrate_1380,FTIR,0.23003370276207666,-0.016899527483916457,-0.09695765818815764,34,0.11463029614471693
Sulfate_1100,FTIR,0.48677188852190106,0.2862471579961638,0.09048548695201848,34,0.2878348444900278
Sulfoxide_1040,FTIR,0.4871785192622015,0.28609210615458197,0.09022099572073061,34,0.2878305403791714
CS_stretch,FTIR,0.489383272213479,0.2869612560176239,0.09204296932285726,34,0.2894624991846534
PO_1250,FTIR,0.4869691240829184,0.28656247223719494,0.09098211792144915,34,0.28817123808052086
POC_1020,FTIR,0.4871304579335027,0.28597289225307637,0.0901651825899988,34,0.28775617759219263
Total_organic_C,FTIR,0.49970299403961427,0.29207274663462585,0.1115880779709067,34,0.3011212728817156
Total_organic_N,FTIR,0.49955689376016077,0.29246186373616406,0.1123502841141502,34,0.3014563472034917
Total_organic_S,FTIR,0.4877652373942581,0.2864307229616162,0.0909050110307966,34,0.28836699046222364
Total_organic_P,FTIR,0.48705010359739015,0.28627091787361925,0.09057757997203246,34,0.2879662004810139
Total_organic_CNSP,FTIR,0.49130925354195654,0.2882344896839313,0.09711063302784145,34,0.29221812541790976
Weighted_CNSP,FTIR,0.4942726303045529,0.28972089444081206,0.10257683820217472,34,0.29552345431584653
CNSP_mineral_ratio,FTIR,0.374037701757628,0.1932160013554271,0.2500485227641687,34,0.27243407529240793
Normalized_CNSP,FTIR,0.34935607604616764,0.16019783100766555,0.2142688166741611,34,0.24127424124266475
Organic_index_FTIR,FTIR,0.373863975141619,0.20706753036110928,0.2627609694624149,34,0.2812308249883811
CH_Silicate_ratio,FTIR,0.3705751956234916,0.20698121167902503,0.26251033340173924,34,0.28002224690141864
Aliphatic_aromatic,FTIR,0.49943715127204213,0.29207007672321444,0.11160872989937987,34,0.3010386526315455
Weighted_organic,FTIR,0.49954341574891464,0.2920003693964647,0.11160102746198461,34,0.3010482708691213
Organic_mineral_ratio,FTIR,0.37992234771634675,0.20486678096786315,0.26460853019749886,34,0.2831325529605696
Char_index_FTIR,FTIR,-0.08886065751234333,-0.0076380836173180556,-0.034762684339521184,34,0.04375380848972752
Pyrolysis_index,FTIR,-0.10512033330674211,-0.0889635150509766,-0.059038040924955536,34,0.08437396309422475
Combustion_index,FTIR,-0.09093691491704559,-0.010623733918477441,-0.03683613814381773,34,0.046132262326446925
Normalized_organic,FTIR,0.34150979480352434,0.14672100004528532,0.20475542439099345,34,0.23099540641326768
CN_ratio,FTIR,-0.01696780807728397,-0.025156638311561754,0.01612999030340667,34,0.01941814556408413
Vis_slope,ASD,-0.48770635333005047,-0.1534505236158202,0.005308404656778257,20,0.215488427200883
Char_darkness,ASD,0.3935531865012237,0.14213015231829956,-0.09053653617722576,20,0.20873995833224968
Organic_index_1,ASD,-0.4810075327064251,-0.13637360822344816,-0.003008620361795145,20,0.20679658709722282
XRF_organic,XRF,0.2105023740154341,0.5081421820108656,0.716425354540706,20,0.4783566368556686
