Metal,Matrix_component,r
Pb,Organic,0.5800601322720373
Pb,Fe2O3,-0.5541265010267803
Pb,SiO2/Al2O3,0.5811225865895124
Pb,Al2O3/SiO2,-0.5007615474429655
Pb,CaO/SiO2,-0.1447936705679213
Zn,Organic,0.3520684210189016
Zn,Fe2O3,-0.5342570464163289
Zn,SiO2/Al2O3,0.321935173382236
Zn,Al2O3/SiO2,-0.28353348178541626
Zn,CaO/SiO2,9.614667907501286e-4
Cu,Organic,0.2080311492120413
Cu,Fe2O3,-0.4875642236505006
Cu,SiO2/Al2O3,0.21878735692523016
Cu,Al2O3/SiO2,-0.28071831057519225
Cu,CaO/SiO2,0.013566048180317253
